.01 PRIMARY ID	.02 TPA ID	.03 CLAIM OFFICE ID	.04 CLAIM TYPE	.05 DATE/TIME LAST MODIFIED	.08 TEST or PRODUCTION	.09 DELETED / INACTIVE	.11 EXCLUDED SERVICE CLAIM TYPE	.12 EXCLUDED SERVICE LAST UPDATED	
free text	free text	free text	set of codes	date	boolean	boolean	set of codes	date	
37298			1	"JUN 25,2012@07:08"					
37299			1	"JUN 26,2012@07:21"					
37300			1	"JUN 21,2012@08:45"					
37304			1	"JUL 2,2012@09:10"					
37307			1	"JUN 20,2012@08:26"					
37308	37308		1	"JUN 14,2012@08:46"					
37309			1	"JUN 26,2012@07:22"					
37313			1	"JUN 19,2012@07:14"					
37314			1	"JUN 25,2012@07:09"					
37316			1	"JUL 8,2012@16:02"					
37330			1	"JUL 16,2012@20:14"					
37602	37602		1	"DEC 28,2015@11:00"					
38201			1	"JUL 16,2012@20:14"					
38216			1	"JUN 25,2012@07:10"					
38217			1	"JUL 16,2012@20:15"					
38219			1	"JUN 26,2019@12:37"					
38221			1	"JUL 2,2012@09:11"					
38224			1	"JUN 27,2012@08:36"					
38225			1	"JUL 16,2012@20:15"					
38232			1	"MAY 8,2012@09:14"					
38234			1	"JUL 2,2012@09:08"					
38238			1	"JUL 16,2012@20:16"					
38241			1	"JUL 16,2012@20:16"					
38254			1	"JAN 15,2013@10:37"					
38257			1	"JUN 19,2012@07:15"					
38259			1	"JUL 16,2012@10:07"					
38260			1	"DEC 10,2019@10:26"					
38265			1	"JUN 5,2012@10:12"					
38309			1	"JUL 16,2012@20:17"					
38310			1	"JUL 16,2012@20:17"					
38325			1	"JUL 16,2012@20:17"					
38329			1	"JUL 16,2012@20:18"					
38333			1	"JUL 16,2012@20:18"					
38334			1	"JUL 16,2012@20:19"					
38336			1	"JUL 16,2012@20:19"					
38337			3	"JUL 16,2012@20:21"					
38338			1	"APR 3,2012@08:18"					
38692			1	"JUL 16,2012@20:20"					
39026	39026		1	"MAR 29,2012@11:06"					
39045			1	"JUN 14,2012@09:05"					
39065			1	"JUN 14,2012@09:06"					
39081			1	"JUL 16,2012@20:23"					
39111			3	"JUL 16,2012@20:23"					
39113			1	"JUN 19,2012@08:50"					
39126			1	"MAR 7,2012@06:48"					
39144			1	"JUN 21,2012@09:19"					
39151			1	"APR 3,2012@08:10"					
39156			1	"JUN 12,2012@09:08"					
39167			1	"MAY 15,2012@11:11"					
39168			1	"JUL 16,2012@10:13"					
39180			2	"FEB 1,2018@17:36"					
39182			1	"JUL 16,2012@20:24"					
39185			1	"JUL 16,2012@20:24"					
39186			1	"JUL 16,2012@20:26"					
39187			1	"JUL 16,2012@20:24"					
39188			1	"JUL 16,2012@20:25"					
39190			1	"MAR 7,2012@06:52"					
39197			1	"JUL 16,2012@20:25"					
39200			1	"DEC 10,2012@10:58"					
39634			1	"JUL 2,2012@09:04"					
40043			1	"FEB 13,2019@13:22"					
40753			1	"OCT 2,2020@09:40"					
41095			1	"JUL 8,2012@16:16"					
41099			1	"JUN 14,2012@09:07"					
41124	41124		1	"DEC 18,2013@12:03"					
41136			1	"MAY 31,2012@08:46"					
41143			1	"JUL 8,2012@16:16"					
41147			1	"JUL 8,2012@16:16"					
41150			1	"JUL 8,2012@16:17"					
41154			1	"JUL 8,2012@16:17"					
41160			2	"JUL 8,2012@16:17"					
41161			2	"JUL 8,2012@16:18"					
41170			1	"JUN 19,2012@07:16"					
41178			1	"JUL 8,2012@16:18"					
41194			1	"JUL 8,2012@16:18"					
41198			1	"JUN 27,2012@08:36"					
41212			1	"JUL 8,2012@16:19"					
41222			2	"JUL 8,2012@16:19"					
41555			1	"JUN 25,2012@07:10"					
41600			1	"JUL 8,2012@16:19"					
41737			1	"JUL 2,2012@09:11"					
42011	HDM01		2	"JUN 25,2021@16:47"			2		
42011	HDM01		3	"JUN 25,2021@16:47"			3		
42049			1	"SEP 4,2019@10:04"					
42112			1	"JUL 8,2012@16:20"					
42137			1	"JUL 8,2012@16:20"					
42150			1	"JUN 27,2012@08:37"					
42561			1	"APR 20,2021@15:26"					
43166			1	"APR 3,2012@08:10"					
43173			1	"JUL 16,2012@20:29"					
43174			1	"JUL 8,2012@16:20"					
43178			1	"JUL 8,2012@16:20"					
43179			1	"JUL 8,2012@16:21"					
43259			1	"JAN 30,2019@14:52"					
43307			1	"JUN 19,2012@08:53"					
43324			1	"JUL 8,2012@16:21"					
43471			1	"JUL 16,2012@20:29"					
43619	43619		1	"MAY 4,2018@14:10"					
44054	44054		1	"MAR 29,2012@11:07"					
44219			1	"JUL 16,2012@20:30"					
44273			1	"JUL 16,2012@20:30"					
44444	44444		1	"MAR 29,2012@11:26"					
44602			1	"MAY 25,2021@14:35"					
45056			2	"JUL 16,2012@20:30"					
45289			1	"JUL 30,2012@11:18"					
45564			1	"MAR 18,2020@14:57"					
45985			1	"JUL 16,2012@20:31"					
46045	AVR05		1	"FEB 14,2020@12:20"					
46050			1	"JUL 16,2012@20:31"					
46051			1	"JUL 16,2012@20:32"					
46311			1	"FEB 1,2018@18:08"					
46430			1	"JAN 5,2018@19:20"					
46594			1	"JUL 16,2012@20:32"					
46871			1	"JUN 27,2012@08:37"					
47027	47027		1	"MAR 29,2012@11:07"					
47076			1	"JUL 16,2012@20:32"					
47080			1	"JUN 27,2012@08:37"					
47083			1	"JUN 27,2012@08:41"					
47198	47198		1	"MAY 31,2012@09:13"					
47200			3	"JUL 16,2012@20:33"					
48055			1	"JUL 16,2012@20:34"					
48100			1	"JUL 16,2012@20:34"					
48116			1	"JUL 16,2012@20:35"					
48117			1	"JUL 16,2012@20:35"					
48120			1	"JUN 14,2012@09:08"					
48145			1	"JUL 16,2012@20:35"					
48330			1	"NOV 7,2019@12:08"					
48603			1	"JUL 30,2012@11:19"					
48611			1	"JUL 16,2012@20:35"					
48964			1	"JUN 19,2012@07:16"					
50114			1	"AUG 12,2019@09:15"					
50528			1	"JUL 8,2012@16:22"					
50664			1	"JUL 8,2012@16:22"					
51020			1	"JUL 8,2012@16:22"					
51032			1	"JUL 2,2012@09:11"					
51037			1	"JUN 27,2012@08:37"					
51052			2	"JUL 16,2012@20:37"					
51062			1	"SEP 13,2021@14:04"					
51185			1	"JUN 12,2012@09:14"					
52095			1	"JUN 14,2012@13:07"					
52103			1	"JUL 26,2012@11:20"					
52120			1	"JUN 26,2012@07:23"					
52123			1	"JUL 16,2012@20:37"					
52132			1	"JUN 14,2012@09:13"					
52149			1	"JUL 16,2012@20:38"					
52180			1	"JUN 27,2012@08:41"					
52181			1	"JUN 12,2012@09:15"					
52189			1	"JUL 16,2012@20:38"					
52192			1	"JUL 16,2012@20:39"					
52193			1	"JUL 16,2012@20:39"					
52196			1	"JUL 16,2012@20:39"					
52429			1	"JUL 16,2012@20:40"					
52629			1	"FEB 28,2020@10:32"					
53011	53011		1	"AUG 15,2012@09:20"					
53085			1	"JUN 27,2012@08:38"					
53483			1	"JAN 21,2020@11:09"					
53589			1	"JUN 27,2012@06:39"					
54154			1	"JUN 14,2012@09:14"					
54160			1	"JUN 27,2012@08:38"					
54176			2	"APR 3,2012@08:50"					
54210			1	"JUL 16,2012@20:40"					
